title,reviewer,rating,date,review,helpful,total_votes,show_title
Not Based on Tolkien's Works,mveldman-13863,2,6 September 2022,"By all means, make a big budget fantasy epic, but please don't for one second tie JRR Tolkien's name into it. Some of the character's names are the same, but the mashing of several thousand years together just muddles the whole story.Hobbits don't belong in the story for thousands of years (though, to their credit, the actors who portray them do a fine job).Elendil and Isildur aren't born for almost 5000 years after this story takes place.Where is Celeborn and Celebrian? Did Galadriel just abandon them completely?Some of the other original characters are intriguing and are played well.The CGI scenery looks magnificent (worth $250 mil), and even the real sets look genuine. But the show has a long way to go to convince me that it is worth promoting to others.The little map transitions are nice because it gives even the casual viewers a little more understanding of where it takes place in Middle Earth.I know that the show didn't get the rights to the Silmarillion, which is definitely disappointing, but I think they can do a decent job without them.Time will tell. I'm hesitant to keep watching, but I might.",147,191,The Lord of the Rings: The Rings of Power
A fair review,firefromice-24226,2,4 September 2022,"The cgi was extremely impressive. Especially for streaming platform. The budget was definitely showing with that. The writing, acting, directing and editing has made this show disappointing. I was a huge fan of the lor movies and the hobbit films, even when Peter Jackson added the stuff in the hobbit ones. It seems the formula used on the rings of power has really missed its mark. Hopefully they learn from this but the shows already been filmed so I don't see it improving. I will not continue to watch. But if you want some epic background visuals toss it on. Like I said it is visually pleasing.",146,191,The Lord of the Rings: The Rings of Power
Crap,tasaras1234,2,12 October 2022,"When you have the money to buy the rights, money to pay for everything to make the most expensive series ever, money to buy media opinion but you don't have a clue what art is.......
Amazon should be ashamed to turn a piece of art, Tolkien's world, to such a crap.Music is very nice and visuals are most of the times very good. End of story.......
Bad acting , stupid dialogues , ridiculous costumes, irrelevant story, uninteresting characters etc.And for God sake. Galadriel...... Really...? Is this how galadriel was supposed to be...?Elves? These are not elves.By the way did elves use gel on their hair? Please...
With Jackson's point of view it would be probably something inetesting to watch.1 billion to burlesque Tolkien's phantasy...",131,190,The Lord of the Rings: The Rings of Power
It's Bad,istella-95268,3,3 September 2022,For the most expensive show ever it's ridiculously amateurish. It stole LotR movies esthetics and designs. It copies the books and movies quite a bit. Even some of the characters are rip offs of original story ones. The score is quite bleak. Acting too. It didn't achieve the feel of the world for me. The only reason I give this 3/10 and not 1/10 is Durin and the dwarves. They're copied too but still done well. Why did they buy the rights to the books when they diverge from them in the very first scene? Lmao. It really doesn't feel as expensive as it reportedly is.I wouldn't believe all these great reviews the final score speaks for itself.,133,190,The Lord of the Rings: The Rings of Power
So this is what it has come to,filmlad-30122,2,5 September 2022,I honestly thought it was an okay show but but really brought it down for me was that it was based off of Tolkien's beautiful world and this is a very unfaithful adaptation. The production value was really well done but the funny thing is Game of Thrones House of the Dragon has a way lower budget yet it seems to look just as good as this. The writing in this show was terrible and the casting was just bizarre and not in a good way. It would have been better as just a new fantasy show and not based off of one of the greatest stories of all time. All in all it's just sad it's come to this. And I don't even think they know the books that well to think that was a good way to portray Galadriel. She wasn't a warrior and she was a good character the way she was when Cate Blanchett portrayed her.,145,189,The Lord of the Rings: The Rings of Power
Underwhelming writing lets it down,korpake,5,4 September 2022,"I really dont understand why any of the characters are really doing what they are doing. It's like the characters are just robots following random instructions. It is unclear and often makes zero sense. It's like things just happen because that is what the plot needs, even if it makes no sense in the context of the situation.This is a sign of very poor writing which is really dissappointing. Hopefully they will improve over time.Special affects are nice, costumes and locations are great, even if a little limited. We don't really see much except distant single shots.I might increase my rating over time, but that remains to be seen.",130,189,The Lord of the Rings: The Rings of Power
"Cringey Writing and Dull Story, Overall",rcrhea,3,5 September 2022,"The VFX, action sequences and music are all top notch... very good. The rest, in literally ALL other departments (some way worse than others), is really bad.Lead heroine is unlikable, Harfoots are the Jar Jar Binks' of the series, and I literally do not care about any of the characters so far. There's also some bad acting I feel in a number of places in both eps.Lot's of laugh out loud moments with some of the dialogue and silly scenes like the Elves passing through the light on the ship... that whole sequence looked like cheap green screen Marvel stuff and the idea (how it was portrayed with prone soldiers standing at attention) was not very good... in fact it looked pretty cheesy.If ep 3 doesn't somehow pull off an impossible miracle then this show is in real trouble. I can't see watching many more eps like these.",137,188,The Lord of the Rings: The Rings of Power
acting and pacing,joshuawebb-47968,1,20 September 2022,"I'm not sure where to start. The fact is, I'm not invested in this show. The show doesn't have a plot that I can figure out. The acting is C- at best. The pacing is incredibly slow. The visuals are amazing but that's about where it ends. I fell asleep during the first episode when it premiered which meant I had to rewatch it before going on to watch Episode 2. I didn't fall asleep during 2 but now we are at the halfway mark and I still don't know WHAT I'm watching. What's the plot? Who are these people? Why should I care about them? The show just seems to jump from one plot to another, back and forth, failing to give any discernable arc for each characters. I don't know WHY I should love this show. If you do not have a plot, or character arcs that pay off with time, it's not worth watching. I mean the characters just ""win"" right out the bat. The show is so cringe. Every character is angry all the time. I don't get why humility is missing here. Durin may be the ONLY decent character. This show essentially needs to replace it's writers because I don't know how you will ever get me to return. The opening season is supposed to be a shows way of hooking you in. Well, I am not hooked. Hopefully season 2 will improve but I cannot watch the rest of Season 1 anymore. Amazon has failed.",132,187,The Lord of the Rings: The Rings of Power
"Despite all the moaning here, it's a great show!",jazzie_77,9,11 September 2022,"I love it. People are complaining, but it's just slowly developing in a greater story, taking it's time to introduce everybody and every storyline. Give it some time. It's not yet finished. It's beautifully done. Very scenic. I love how it unfolds. Still 6 more episodes to go, so i am very curious. People are probably also complaining because it's a bit slow. But it's a series and I love being taken into this world again and seeing things come together. All the negativity here, don't be so impatient!I have to write more: okay: the characters are slowly revealed, the scenery is beautiful, the man from the sky is a riddle, is he good or evil, or is he the great sorcerer? The bonding between elves and dwarves, the bonding between elves and men... it's just all a great prequel to the movies, understanding how things came to be.",34,187,The Lord of the Rings: The Rings of Power
Doesn't deserve its current score,Tactictoe,3,22 September 2022,"The main character is abrasive, irrational and arrogant beyond belief, one of the most unlikable characters ever written. She's suppose to glow with the light of the trees of Valinor, but the only glow about her is from the constant state of indignation. So far her storyline has been not just boring, which would be bad enough... but repulsive, meaning while its playing through you find yourself waiting for the next side story footage to play. The Harfoot side story is abysmally boring, but somehow is the most entertaining story in the show. I feel like they're drawing it out deliberately but doing a poor job of it.",135,186,The Lord of the Rings: The Rings of Power
Utter trash with zero substance.,djm-58220,1,5 October 2022,"Huge Tolkien fan. Books, movies, loved them all.Watched all 6 episodes of Rings of Power. All 6 are easily the worst TV I have ever seen, it is so bad it's not even so bad it's good bad, it's just terribly written, terribly acted and the general plot and people's actions and motivations make no sense. With only 2 more episodes left I can't see how they can have any resolution to the ""plot"".It's utter trash and I can't for the life of me understand how it cost $500,000+.Shallow with zero substance, written like a bad fan fiction, makes a utter mockery of Tolkiens legacy.Avoid like the plague.",108,184,The Lord of the Rings: The Rings of Power
Hoping It Gets Better,fleck05IMDB,3,10 September 2022,"""Hopefully it will get better,"" is the phrase many people writing reviews come up with after seeing the first two episodes - and I will add my voice to that chorus.When the (then new) writers for Game Of Thrones followed the storyline laid out Martin's books, it was great. When they ran out of source material and wrote their own version of GOT, it was awful.Now we have Rings Of Power from the duo that brought us 1980's Flash Gordon (fun as a cult movie, but I don't think anyone watches it thinking, that's some great writing). According to IMDb they (Patrick McKay and John Payne) haven't done much else (compare their credits to Peter Jackson's).I'm mystified why Amazon Prime trusts them with a budget in the hundreds of millions - especially after seeing the first two episodes. While I'm not surprised, I am curious why Payne and McKay choose to stray away from the source material. At least they're doing it early and not after 7 years of investing in the characters like Game Of Thrones.The acting and directing are okay, but for this budget they should be great. The same can be said of the musical score (why didn't they use Howard Shore)? The writing is subpar and dull, which is the most disappointing aspect since Tolkien's books are so epic.The one positive note is the amazing look of the film (it was the reason I kept watching). I prefer shows that get me so invested in the characters I want to know what happens to them, and writing that I'm still thinking about a few days later. This series has neither of those, it just looks pretty.So here I sit with the same thought I had watching the Game Of Thrones 8th season... hopefully it will get better.",117,184,The Lord of the Rings: The Rings of Power
That's no Corsair ship. That's a space station...,elgsdyr,4,3 September 2022,"...going down fast.To sum up my initial impression from watching the first couple of episodes: This isn't entirely unlike an amateur theatre group performing this ""lost"" play by Shakespeare, which turns out to be written by someone's 16 year old cousin as a school project and generously financed by a very wealthy uncle. The point I'm making here is that just because you have a big budget doesn't mean you automatically will get a good end result. If you want to deliver a successful story ""based on the works of Tolkien"", you need very talented writers, directors, cinematographers, actors, etc. This show has none of those. There are a lot of familiar elements from Tolkien's world, but other than that everything is pretty bland. I lost interest fairly quickly and had to force myself to finish the two episodes.While I was never a big fan of neither the books nor the movies, Peter Jackson had an immense love for Tolkien's world and managed to put his talent into an adaptation infinitely better than this show, which is obviously done by someone who has absolutely no sense of what they're dealing with and what it requires.",123,184,The Lord of the Rings: The Rings of Power
Who cares if it's not precisely the way YOU,cnjjpbgmk,10,11 October 2022,"I can't believe people who are giving this such negative reviews. Who cares if it's not the way you think it should be portrayed because of your version of what you think you read from his original works.It is fantastically entertaining, incredibly well shot and produced, and while the story lines were slow to get rolling, and I don't necessarily think that some of the characters lineup with how they were portrayed in the Lord of the Rings movies later, it really doesn't matter. These are NEW.I can't wait for each episode to come out, I look forward to watching these every week, and I would love to be able to see all of them in the theater. The first two we saw through a free preview, and I wish I could watch every single episode on a huge screen!Enjoy them for what they are.",44,183,The Lord of the Rings: The Rings of Power
Went in with low expectations,freak-78185,10,21 September 2022,What an incredible plot! Acting is great! Scenery and everything has been fantastic! This has not been a low budget crappy attempt at a show. I can't believe the low ratings on here unless it's something that was a book adaptation that hasn't met readers expectations! This series has been stellar so far!! The flow of the story has moved nicely between episodes. I have not found myself bored and drifting away losing attention to what's going on because it has been so captivating. If you love fantasy and sci Fi and Lord of the rings go into this without expecting what you saw it read in books and you'll be delighted.,27,181,The Lord of the Rings: The Rings of Power
Unbearable,jspaulsen89,1,15 September 2022,"Me and my gf are big Tolkien fans, but this is as far from it that it gets. We Tried to watch the 3 episodes that are out, but failed to watch it all bc off cheese lines and general bad writing. It strays to far away from tolkiens work, and it seems like the producers are more concerned about their political agenda then actually making a true Tolkien story. Costumes are much worse now l, than they was in LOTR that was made 20 years ago. And the dialogs are agonizing. The CGI is for the most part up to date with beautiful scenery, but sometimes it just falls apart and you just wonder where all the money went.",133,181,The Lord of the Rings: The Rings of Power
Not Tolkien!,rpforsey,3,3 September 2022,"I wanted to give it a go, but it is really poor, I am struggling to complete the first episode. The people who made this have forgotten what makes Tolkien so special and that is the depth of his world building. You know that behind every main character that Tolkien mentions in his writings there is likely to be a full mythology. This feels shallow in comparison with very little link to Tolkien.As others have said the depiction of the elves feels all wrong. These would have been High Elves in their full glory, they seem to be just humans with pointy ears in this. Also, there is the painfully predictable forbidden ""love story"" between an Elf and a Human, and there is even mention that unions between the races end in death and tragedy. Have they forgotten Elrond is half elven??!!Someone said in another review that any Tolkien fan would love this and that it is Jackson fans that wouldn't. I can't disagree more! Jackson did a good job with TLOTR, but fell into the same trap of making too much up for the Hobbit. This is almost all made up because it is not based on the Silmarillion or the Lost Tales, because they licensed the Appendices of TLOTR only which is basically a lot of names and lineage.This is not Tolkien, this is fan fiction, and it's not very good sadly.",125,180,The Lord of the Rings: The Rings of Power
A weird and disjointed show that is like a bad trip,Drabble500,4,11 September 2022,"Three episodes in and this is one of the oddest things I've ever seen.The storylines are disparate and disjointed. Normally in complex narratives there's something that gives them an overall coherence: look at the way GoT wove the Night's Watch together with King's Landing or Qarth. Although still early days, there's little here that strongly binds the Harfoots to Numenor. Which means that I find myself bored out of my mind during long sections e.g. The Harfoots.Unlike some reviewers I don't have a problem per se with grumpy recalcitrant Elves. Elves in the Hobbit and Silmarillion are by no means all benign, friendly, beings. But Galadriel, for all her good acting, comes across as a 12 yr old having tantrums. She bears no relation at all to the Galadriel of Tolkien's works. In an attempt to give her oomph the writers have managed to produce a character who behaves so stupidly that it's becoming farcical.Which leads to one of the main problems, but still not the biggest, to which I'm coming. This series is completely disconnected from almost everything anyone has read or seen of Middle Earth previously. It's not like the books and it's certainly not like famous films, which are beginning to look stellar by comparison. Okay, so Numenor pops up. And the Sundering Seas. And, erm, that's pretty much it. Most of Middle Earth is an entirely different place and story.The series has a famously high budget which also makes some of tackiness really surprising. The long range CGI landscapes, for example, are simply dreadful. Really poorly done. Jason and the Argonauts did a better job 60 years ago.The biggest issue for me though is that is just downright weird. I mean really, really, whacky. Like someone wrote it on hallucinogenic drugs or was having a really bad trip. Which is presumably what happened to Meteor Man. It's so darn weird at times that I have to fast forward.At the moment I'm giving the series 4 stars but I think that's being generous.It's a terrible disappointment. Disjointed, Disparate and really, really, weird.To be frank, it's exceptionally unlikeable.",119,179,The Lord of the Rings: The Rings of Power
What's the point?,jsnyda,2,2 September 2022,"If only there were better writers hired to match the expensive visual quality. I don't care if a movie is filmed with a camcorder, as long as it has a good story. Its too bad the focus was only on visuals here. Maybe Tolkien's world should be left alone. It's pretty obvious that the writers on this project don't even come close to matching Tolkien's style, and many times it doesn't even feel like Middle Earth. Don't waste your time with this one, except if you are a visual effects designer. Maybe the next episodes will get better and better, but I don't have any excitement for what's to come as of now.",131,179,The Lord of the Rings: The Rings of Power
Wonderful and artful,catia-s,10,6 September 2022,"First - PLEASE IGNORE THE TROLL REVIEWERSTHIS IS A WORK OF ART AND BEAUTY
The cgi couldn't be better, everything feels as real as if it really were, costumes are amazing too. I absolutely love the casting, and so what if male elves don't have long hair, maybe that's something that changed with the eras. But, Galadriel takes the take, she is amazing, I love her portrayal, she's as badass as you could ever imagine by watching the movies. It's one of my fave things so far, just to watch her and Elrond, and see how they are the same and how they've changed two thousand years later in LOTR.Something must also be said of the Elves past and their original birth place which is only alluded in LOTR, the place they escape to, and in the end go to rest. It's really amazing to be able to see it now and be more connected to that since it's recent past for the elves in this era.Also, the harfoots which we know from LOTR are the ancestors of the hobbits and you can totally tell. I like the adventurous harfoot girls, and their part of the plot is pretty interesting too. I'm definitely curious about the stranger that fell from the sky.And, the dwarves OMG, to see the mines of Khazad-dum in all its glory, just wow.I'm absolutely enthralled by the show, as you can tell, and can't wait to see more.The level of production is as good as LOTR, and anyone that truly loves the movie saga won't be disappointed.About the book purists and trolls, forget them, this show deserves to be over 8 or 9. The work of everyone involved and especially the writers that turned a bunch of books and notes into this epic tale is so worthy and makes me even sadder and more disappointed to see it with its current rating.",28,176,The Lord of the Rings: The Rings of Power
PERFECT,matchatv,10,17 September 2022,"I'm a huge fan of the the lord of the ring and the hobbit. And this drama bring me back to see how wonderful the stories before.The cinematography, and the storyline are amazing. I've been really waiting for the season two. I only need to remember who the actor is, since the story long before Frodo was born. I'm waiting for Gandalf, an army of elves, dwarves, and humans unite against Morgoth. And I wish I could see all the great wizards who didn't appear in the hobbit and the lord of the ring. I hope I can also see more clearly the story about the ring of Morgoth can be a threat to everyone.",25,175,The Lord of the Rings: The Rings of Power
Ignorance is Bliss,micahpuett,1,10 September 2022,"I had fingers-crossed hopes that this 'billion-dollar-epic' was going to be worthy of Tolkien's legacy. Yet again, disappointment was served up in heaping platters. Clearly, the people who rated this as 'good' or 'great' are those who have no clue about the actual stories and legendarium of Middle Earth. Amazon's attempt is the worst of both worlds: it terribly mangles and distorts actual characters and storylines, while needlessly inventing new characters and stories while ignoring the actual lore. Beloved characters such as Galadriel, Elrond and Gil-galad were washed out shadows of the real, and it all left me wondering if the producers had any knowledge whatsoever of who these people were in Tolkien's universe. Hobbits during the second age is preposterous. Elrod being a 'politician' or a speechwriter for Gil-galad is pure lunacy. Galardriel being a scrappy fighter leading a band of elves to chase after Sauron is ridiculous, and the concept that Gil-galad would 'grant' them permission to sail back to Valinor is barking madness for so many reasons. Considering how great the actual stories of the second age are, and how they're distorted, brutalized and mostly ignored for this bad excuse for uninformed fan-fiction is... I'm done after Ep.2 -- I really can't stand another minute of this tripe. This is dumbed-down garbage for the vast majority of viewers: people who don't read books.Ignorance is bliss.. right?",128,175,The Lord of the Rings: The Rings of Power
Gets better each episode!,zgudgin,9,4 October 2022,The bad reviews seems to be after just watching one or two episodes which isn't a fair review.The story takes a while to build momentum but once it does the storyline becomes more and more compelling. Each episode is over an hour and follows various character stories throughout each episode. As the series goes on you see more character stories cross paths as the story gets to the main plot focus of the series.It is obvious how much work has gone into the making of this series and why it has such a high budget as both the visuals and sound effects are second to none.Stick with the story and don't set unrealistic standards after watching just one or two episodes and you will enjoy.,46,174,The Lord of the Rings: The Rings of Power
Disappointed,anurzynski,3,6 September 2022,"I came into this with cautious optimism, but honestly the script comes across like a fanfiction written by an intelligent teenager. And I like fanfiction, but I expected more from an official show with such a large budget. I'm also not a fan of some of the stylistic choices with the costumes and hairstyles. The music is lovely. Overall the only motivation I have to continue watching at this point is out of hope that it improves as the season goes on. It's a shame that such a huge investment didn't yield better results. They really should have focused more on story and dialogue writing because it's often downright cringe! The visuals are nice but cannot make up for lack of substance, and frankly, dullness.",137,173,The Lord of the Rings: The Rings of Power
Surprisingly poorly done,mitreya-78970,2,12 October 2022,"I consider this show to be unacceptably departed from the works of Tolkien. There was space to improvise but they just had to go into major contradictions (such as the origin of mithril in the show which is not even close to Tolkien's writings). But what is amazing is that the show is poorly done even ignoring any lore issues. I struggle to explain why and how that happened, given their budget. To illustrate, I will sketch out one of the storylines in show -- Númenor coming to help against orcs in the Southlands.So Númenor decides to send help to a village in the Southlands which is (possibly) being attacked by the orcs. They do not know which village it is, they do not know how many orcs are attacking, the do not know when the attack will happen.They decide to send five (5) ships with 500 men and horses and the current queen of Númenor comes along. An event causes two (2) ships to become unavailable, so the rescue team is reduced to three (3) ships and, presumably, 300 men and horses.The relief force is clearly shown to consist of teenage volunteers who are hastily trained before departure. There are no obviously experienced soldiers ever shown on screen. Not only do the teenagers go to war, their armor (particularly helmets) does not fit them. The queen of Númenor does not have any elite bodyguards to accompany her to a far away military expedition.The group sails across the world (Númenor is far away) but arrives at the exact moment when their help is needed. While the charge of the cavalry is happening, the time of the day changes to dawn, to darkness, to dawn, and back to darkness again. That is, when the cavalry is charging, the sunrise is already there to light them but when the view switches to village, it is still dark outside.The rescue army was not coming to help with a specific threat or to a specific village. They just landed and intuited where they are needed. We later learn that they also set up a camp before charging to rescue. However, the three ships are clearly too small to hold 100 men and 100 horses, much less any sort of camp supplies needed.It seems like anyone proofreading the script would have asked some questions about these events. Most other storylines suffer from similar consistency issues.",118,169,The Lord of the Rings: The Rings of Power
It's just not that good.,newytfan,1,8 September 2022,First off I'll see that the visuals are absolutely beautiful and the chemistry between Durin and Disa really is something by far they are my favorite characters. However I'm still waiting this a one step because of Galadriel when I seen her use the Matrix to kill that troll it more or less killed the show for me. Like seriously I do not know what they were thinking nobody can relate to someone so perfect. How are we supposed to care for someone who we know will not go through any sort of hardship throughout the show? Most of the dialogue between the characters are rather Bland as well and the pacing just feels wrong. Overall I really wanted to like this show but I just can't it's not any good simple as that.,122,169,The Lord of the Rings: The Rings of Power
What is going on??,nix-cornelissen,4,3 September 2022,"I watched the LOTR and Hobbit movies years ago. Now this show comes out and I feel like I'm supposed to understand things without explanation. I don't understand any of the references or plot points. I don't know all the species of creatures, or the lore behind significant objects. I don't understand why humans hate the elves, or what the broken sword the kid found is. I'm confused as why the sky opened up and the light swallowed the ship. This show is definitely for those who watched the movies multiple times and read all the books. As a casual viewer who has only seen the movies once upon a time and never read the novels I'm lost and am struggling to enjoy this show.",112,168,The Lord of the Rings: The Rings of Power
Not Lord of the rings,madsenjacob-85004,1,17 September 2022,"Tolkien would be rolling in his grave watching this. Boring, nothing like the books, and too much made up bologni. There's running with material and then there's just making something brand new. I will say it's only 4 episodes in so let's see what happens but there's very little action and the drama/politics are just so bland its bad. One thing I have liked is the harefoots. Which somewhat resemble the Hobbits from the books and previous media, they act goofy and yet with heart. Whereas other main characters are not acting cannon at all. I will continue watching to see if it gets better but so far very disappointed. A mediocre show if it didn't have the Lord of the Rings title.",115,165,The Lord of the Rings: The Rings of Power
Great show,ben-amis,10,11 September 2022,"I fear how people would review the original Lord of the Rings trilogy if it was made today. It also does not follow the books closely at all. This show is great.First of all it looks visually brilliant, has a Lord of the rings vibe to it although a bit more vibrant but I'm sure the darkness will come. The cgi has been brilliant, no problems there. They have spent the money to get it right and they have. The actors and acting are also good, the dwarves are especially great. It's also nice to see a dwarf kingdom on screen that isn't in ruins. The orcs are some of the best designed orcs I have seen on screen. One thing I do find odd is that the elves don't all have long hair but I'm willing to look past it. The use of the map to transition from area to area is also something I love and great for people that do not know the map as well as those who have read the books. I have read all the books, twice, just to clarify.",26,165,The Lord of the Rings: The Rings of Power
Review bombers will be the death of good TV,lydiafwilkinson,10,3 September 2022,"I'm so over people bombing shows with negative reviews because it doesn't fit their image of what it should be. This has nothing to do with the quality of the show. And if you're doing it to gatekeep LOTR, then you're not a real fan. This show is spectacular and such a great balm in the horrible times we're living in. I was 10 when the LOTR films first came out and I read the books. I am a big fan of the LOTR universe and I think this show is a brilliant addition to that world. It obviously looks serene and incredible, the dialogue is true to the previous films and the acting is great. Go away, haters!",45,164,The Lord of the Rings: The Rings of Power
brilliant,vanlorryjf,1,5 September 2022,"Writing; mabye one of the best screenplays I have ever seen, as Lenny Henry stated quite a few times 'we are writing this now,' and he's right, the writing is incredible and deep, thanks Lenny, for your massive efforts!Costumes; despite what some naysayers say the costumes were out of this world and better than game of thrones...no question!Acting; Gladriel deserves an oscar, Lenny Henry brings exquisite panache with an experience that shines and the supporting cast excel in this jamboree of acting talentstory; the wonderfully crafted story easily outshines Tolkien with its witty and enchanting take on middle earth, be ready for a wild roller coaster ride!2 episodes in and I know I'm going to love the rest forever.Up to number 5 now and I still can't follow the story,the prosthetics are terrible ..crazy elf ears, bad noses and silly costumes. Lenny is funny with his Irish Cornishish accent as he rules the traveller community in their weird travels with their strange families. The lead character acts like a stone statue and fights with a plastic sword, I could go on but this is only good for comedy from now on, what were the producers thinking about during production? Its laughable at best and at worst a terrible waste of money given to very well paid ignorant incompetents.",71,162,The Lord of the Rings: The Rings of Power
It Could Have Been Special,fleck05IMDB,3,9 September 2022,"""Hopefully it will get better,"" is the phrase many people writing reviews come up with after seeing the first two episodes - and I will add my voice to that chorus.When the (then new) writers for Game Of Thrones followed the storyline laid out Martin's books, it was great. When they ran out of source material and wrote their own version of GOT, it was awful.Now we have Rings Of Power from the duo that brought us 1980's Flash Gordon (fun as a cult movie, but I don't think anyone watches it thinking, that's some great writing). According to IMDb they (Patrick McKay and John Payne) haven't done much else (compare their credits to Peter Jackson's).I'm mystified why Amazon Prime trusts them with a budget in the hundreds of millions - especially after seeing the first two episodes. While I'm not surprised, I am curious why Payne and McKay choose to stray away from the source material. At least they're doing it early and not after 7 years of investing in the characters like Game Of Thrones.The acting and directing are okay, but for this budget they should be great. The same can be said of the musical score (why didn't they use Howard Shore)? The writing is subpar and dull, which is the most disappointing aspect since Tolkien's books are so epic.The one positive note is the amazing look of the film (it was the reason I kept watching). I prefer shows that get me so invested in the characters I want to know what happens to them, and writing that I'm still thinking about a few days later. This series has neither of those, it just looks pretty.So here I sit with the same thought I had watching the Game Of Thrones 8th season... hopefully it will get better.",105,161,The Lord of the Rings: The Rings of Power
Just seemed like Fan Fiction,dmaginnisiv,3,2 September 2022,"Read the Silmarillion multiple times and dug into the appendix of LOTR as a kid to fill in as much as possible. I gave it a shot but too much of this show seems put having every sort of group included and to pass the Bechdel test. Maybe if I never read the source material and don't see so much being contradicted, I might be able to enjoy it but there was too much that seemed out of character or did not make sense to Tolkien's works. Time frames make no sense. People are acting in ways that Tolkien said they did not. I can't get on board. Might be good for someone that is unfamiliar with anything that happened before LOTR or the Hobbit.",113,161,The Lord of the Rings: The Rings of Power
Causal Fans Will Like It / Hardcore Book Readers Will Never Approve,stevenblaircarter,9,4 October 2022,"I'm enjoying the series, I think some of the complaints are valid but a little harsh. I get the hardcore fans being upset as they have the highest standard, but sometimes too high. Peter Jackson isn't running the show now, so of course the look/feel, etc. And I believe (I don't know) he had more years to plan. It's going to be different as Jackson clearly did a better job....so far. Really feel like this is like most series where in season 1 they're still figuring parts of it out and it'll get better w/the details as the season progress as Amazon made a multiyear commitment (like $1b) which is awesome...give it a shot folks, as I find it fascinating to hear the backstory to The Hobbit and Fellowship of the Rings as I never read the books.",42,160,The Lord of the Rings: The Rings of Power
Let's be honest,atdmv,5,11 September 2022,"Let's be honest. This is not a 1/10 or a 10/10 show. It's good enough not to have failed and fallen below 5, but it's not good enough to make you want to re-watch it over and over.The writing and the dialog is probably below 5, but it makes up slightly with the overall arc and the effects. The racial makeup is not an issue in a fictional world. The faithfulness to the Source material and the vision of the author is an issue.If they wanted to stray this far from the source, they should have just written their own new story and made a show. There are plenty of creative people out there who write great stuff.It's disingenuous to say the show is soooo great or a total failure. It's just the middle-of-the-road show, which makes it a disappointment due to high expectations.",122,160,The Lord of the Rings: The Rings of Power
Awful. Just painful.,mullerjerusha,1,11 September 2022,"I'm restraining myself from rating this as a Tolkien fan as that makes me simply apoplectic.I did decide to give this a chance simply as a story and good grief! Where do I start? I'll limit myself to incomprehensible pacing, unnecessary exposition, bewildering plot choices, obvious continuity errors, glaring makeup, painful over-acting, ludicrous and laughable dialogue. As a whole, it took me HOURS to get through, as I found myself doing other things while watching. Everything was so leaden and boring.There are some pretty shots, but they are buried in a mound of a screamer hunk of the most expensive mistake in entertainment history.This is their own fault.They were warned.",115,160,The Lord of the Rings: The Rings of Power
4 Episodes in and a thorough disappointment.,nil_predator2003,3,22 September 2022,I had extremely high hopes for this series.I don't mind that they changed details from the books.I do mind that the pace is so incredibly slow.I find myself watching an entire episode and wondering when something interesting is going to happen. At this point the show would be better if there was 75 percent just scenery CGI shots of middle earth. I would give this show 1 or 2 stars if it wasn't for the CGI.The scope of this series is so narrow and uninteresting.It seems like they wanted to make this show a Game of Thrones clone but without the action or violence or even very interesting characters.As a LOTR fan I will watch the rest of the series and hope that it gets much better.,122,159,The Lord of the Rings: The Rings of Power
I was hopeful but now i am very disappointed...,blockerraid,1,17 September 2022,"While most of the visuals are very good, the show looks and sounds very generic, just like in the trailers and teasers that we have seen so far.The few action and fight scenes are poorly done and the acting is no standing out for any of the characters.The dialogues are very shallow with no depth and reference to the books.The 1st 2 episodes seems to be the introduction for the characters and the world but they fail to explain many things like, Valinor, Morgoth, Elven Imortality, Valar, Places and age that the show takes place.The disappointment is bigger for the book characters Cirdan and Celeborn who should be in the show from the start, but they seem to be missing and not even mentioned.The worst thing is that it doesn't capture the spirit of Tolkien's work and breaks the lore in unjustifiable ways, concluding to the perversion of the story as we know it from the books but also to the perversion of the characters in their looks, roles and attitude, like Elrond, Gil-Galad, Celeborn and Galadriel.Few examples...
The elves, even as kids where wise and more mature than humans, they admired the beauty of nature and crafted things.To show elf kids that try to destroy something beautiful is just diminishing for the elves and wrong lore-wise.Elrond should have black hair and grey eyes and should be described as a healer and a lore master,
not a politician who doesn't even poses the title of lord.Gil-Galad should be wise and fearless and not someone who is in denial of the existence of evil and needs help to write his own speech.Galadriel should be wise, a beacon of hope, warmth, elegance, grace and strength. A person that can make you crumble in fear with a look. Not an obsessive hot headed warrior who is in a driven by hate and vengeance against Sauron with a handful of incompetent elves that can't even kill a troll on their own.This quest seems stupid since Sauron is a Mair and he would destroy them before they even get close to him.Celebrimbor is a Noldor Prince and Feanor's grandson. He should also be dark haired with grey eyes and younger than Galadriel, since he is her distant younger cousin.The show seems to be getting worse lore wise and remain steady in bad dialogues and story telling.I could make a huge analysis about everything that is wrong in the show in terms of characters, dialogues and story telling but it wouldn't matter if i present it here.I was hopeful but now i am very disappointed...",123,157,The Lord of the Rings: The Rings of Power
